index,track_name,track_id,dl_url,artist_name,artist_id
38,Drum-trac,103,https://karl202003764002583.googuu.xyz/api/get.php?id=b16c83e795b9ba18062ddf8c28d,Richie Hawtin,3
39,F.U.,104,https://karl202003764002583.googuu.xyz/api/get.php?id=8367558f8d2c981ab7df6879f53,Richie Hawtin,3
40,Kaboose,105,https://liam5350415057231.googuu.xyz/api/get.php?id=fa6e440c68261446c7f51fded5b,Richie Hawtin,3
41,Theychx,106,https://liam5350415057231.googuu.xyz/api/get.php?id=5068632306ca53ec36e71fa8224,Richie Hawtin,3
42,The Day After,107,https://liam5350415057231.googuu.xyz/api/get.php?id=2cd2d4174bc9dc881cbe4811107,Richie Hawtin,3
43,Runner,108,https://joanne178972239606370.googuu.xyz/api/get.php?id=063c0644b7a0de730efabc9c64d,Richie Hawtin,3
44,Sanctuary,109,https://joanne178972239606370.googuu.xyz/api/get.php?id=3d3d9e79ec45de1a942d504808b,Richie Hawtin,3
45,Mantrax,110,https://miriam43578555713257.googuu.xyz/api/get.php?id=889a9a66d467f2e41abfc386383,Richie Hawtin,3
46,Dimension Intrusion,111,https://freddie16016125155932.googuu.xyz/api/get.php?id=43605d7656bd7835a2aa26baf8e,Richie Hawtin,3
47,Train-trac,112,https://freddie16016125155932.googuu.xyz/api/get.php?id=f3f2fd0382e67da8fb215e00b83,Richie Hawtin,3
48,Slac,113,https://freddie16016125155932.googuu.xyz/api/get.php?id=80ca5ff1a62061b30b908f47bb3,Richie Hawtin,3
49,A New Day,114,https://lauren103351005573857.googuu.xyz/api/get.php?id=2894b400f031271c7dfb4d6640e,Richie Hawtin,3
50,Nitedrive,116,https://lauren103351005573857.googuu.xyz/api/get.php?id=6b39be264c4cec92eca0ef815a5,Richie Hawtin,3
51,Time Stop,117,https://todd38997692451975.googuu.xyz/api/get.php?id=d82d9df2d29d2bdb4ec578a7ee5,Richie Hawtin,3
52,"Richie Hawtin, 80xx - Grindr",130,https://glenda22687894964250.googuu.xyz/api/get.php?id=619eb87964414dc52b7e1c46c16,Richie Hawtin,3
53,"Richie Hawtin, 80xx - Creatur",132,https://liam5350415057231.googuu.xyz/api/get.php?id=0016ae0998e531cfe674539f1fb,Richie Hawtin,3
54,"Richie Hawtin, R.H.X - Xtension",133,https://liam5350415057231.googuu.xyz/api/get.php?id=c124b327417f8aa04f2e2b72d0e,Richie Hawtin,3
55,"Richie Hawtin, 80xx - Creepr",134,https://liam5350415057231.googuu.xyz/api/get.php?id=f4872be32e539f5db5c9f2c1525,Richie Hawtin,3
56,Robot Man: Hypno Freak (Original Mix) (1992) 12DEF003,153,https://liam5350415057231.googuu.xyz/api/get.php?id=96e262dac817c6342f7d5df74f2,Richie Hawtin,3
57,Robot Man: Never (Richie's Freakin' Mix) (1992) 12DEF003,155,https://glenda22687894964250.googuu.xyz/api/get.php?id=81af64420642eac39932fe552b7,Richie Hawtin,3
